country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
EE,one_variable_flipped,left_right_identification,EE_left_right_identification_flipped.graphml,91,124,27,0.217742,7.300153
EE,one_variable_flipped,welfare_chauvinism,EE_welfare_chauvinism_flipped.graphml,89,112,34,0.303571,7.519084
EE,original,,EE.graphml,89,131,37,0.282443,7.435016
ES,one_variable_flipped,anti_basic_income,ES_anti_basic_income_flipped.graphml,98,146,53,0.363014,8.126689
ES,one_variable_flipped,anti_climate_ban_appliances,ES_anti_climate_ban_appliances_flipped.graphml,96,142,51,0.359155,8.122037
ES,one_variable_flipped,anti_climate_change_renewables,ES_anti_climate_change_renewables_flipped.graphml,103,176,61,0.346591,8.646860
ES,one_variable_flipped,anti_climate_change_taxes,ES_anti_climate_change_taxes_flipped.graphml,95,141,42,0.297872,7.754383
ES,one_variable_flipped,anti_economic_interventionism,ES_anti_economic_interventionism_flipped.graphml,85,105,36,0.342857,7.707027
ES,one_variable_flipped,anti_egalitarianism,ES_anti_egalitarianism_flipped.graphml,87,99,23,0.232323,7.645701
ES,one_variable_flipped,anti_immigration,ES_anti_immigration_flipped.graphml,100,163,54,0.331288,8.268639
ES,one_variable_flipped,anti_lgbt,ES_anti_lgbt_flipped.graphml,83,83,17,0.204819,7.806837
ES,one_variable_flipped,anti_libertarianism,ES_anti_libertarianism_flipped.graphml,111,247,113,0.457490,9.635366
ES,one_variable_flipped,anti_social_benefits_low_income,ES_anti_social_benefits_low_income_flipped.graphml,113,260,120,0.461538,9.658227
ES,one_variable_flipped,anti_social_benefits_parents,ES_anti_social_benefits_parents_flipped.graphml,89,112,35,0.312500,7.933752
ES,one_variable_flipped,authoritarianism,ES_authoritarianism_flipped.graphml,87,99,30,0.303030,7.911124
ES,one_variable_flipped,benefits_harm_economy,ES_benefits_harm_economy_flipped.graphml,87,103,23,0.223301,7.670073
ES,one_variable_flipped,benefits_harm_society,ES_benefits_harm_society_flipped.graphml,83,94,31,0.329787,7.701085
ES,one_variable_flipped,climate_skepticism,ES_climate_skepticism_flipped.graphml,92,126,40,0.317460,7.879051
ES,one_variable_flipped,educational_spending,ES_educational_spending_flipped.graphml,90,120,32,0.266667,7.808660
ES,one_variable_flipped,euroscepticism,ES_euroscepticism_flipped.graphml,93,125,41,0.328000,7.800651
ES,one_variable_flipped,gender_inequality,ES_gender_inequality_flipped.graphml,100,160,53,0.331250,7.923074
ES,one_variable_flipped,left_right_identification,ES_left_right_identification_flipped.graphml,84,94,18,0.191489,7.516478
ES,one_variable_flipped,welfare_chauvinism,ES_welfare_chauvinism_flipped.graphml,87,104,30,0.288462,7.662928
ES,original,,ES.graphml,89,105,27,0.257143,7.645629
FI,one_variable_flipped,anti_basic_income,FI_anti_basic_income_flipped.graphml,105,189,52,0.275132,7.970149
FI,one_variable_flipped,anti_climate_ban_appliances,FI_anti_climate_ban_appliances_flipped.graphml,99,164,44,0.268293,7.610335
FI,one_variable_flipped,anti_climate_change_renewables,FI_anti_climate_change_renewables_flipped.graphml,95,137,42,0.306569,7.787888
FI,one_variable_flipped,anti_climate_change_taxes,FI_anti_climate_change_taxes_flipped.graphml,99,167,45,0.269461,7.637762
FI,one_variable_flipped,anti_economic_interventionism,FI_anti_economic_interventionism_flipped.graphml,114,232,82,0.353448,8.318013
FI,one_variable_flipped,anti_egalitarianism,FI_anti_egalitarianism_flipped.graphml,100,161,44,0.273292,7.846726
FI,one_variable_flipped,anti_immigration,FI_anti_immigration_flipped.graphml,100,165,40,0.242424,8.040807
FI,one_variable_flipped,anti_lgbt,FI_anti_lgbt_flipped.graphml,95,153,43,0.281046,7.698065
FI,one_variable_flipped,anti_libertarianism,FI_anti_libertarianism_flipped.graphml,104,190,64,0.336842,8.259641
FI,one_variable_flipped,anti_social_benefits_low_income,FI_anti_social_benefits_low_income_flipped.graphml,105,191,55,0.287958,8.095303
FI,one_variable_flipped,anti_social_benefits_parents,FI_anti_social_benefits_parents_flipped.graphml,108,234,78,0.333333,8.151824
FI,one_variable_flipped,authoritarianism,FI_authoritarianism_flipped.graphml,94,127,32,0.251969,7.495870
FI,one_variable_flipped,benefits_harm_economy,FI_benefits_harm_economy_flipped.graphml,99,155,42,0.270968,7.658042
FI,one_variable_flipped,benefits_harm_society,FI_benefits_harm_society_flipped.graphml,102,179,50,0.279330,7.769125
FI,one_variable_flipped,climate_skepticism,FI_climate_skepticism_flipped.graphml,91,124,37,0.298387,7.420420
FI,one_variable_flipped,educational_spending,FI_educational_spending_flipped.graphml,94,140,35,0.250000,7.545466
FI,one_variable_flipped,euroscepticism,FI_euroscepticism_flipped.graphml,98,156,41,0.262821,7.690220
FI,one_variable_flipped,gender_inequality,FI_gender_inequality_flipped.graphml,98,148,43,0.290541,7.792690
FI,one_variable_flipped,left_right_identification,FI_left_right_identification_flipped.graphml,92,132,34,0.257576,7.576476
FI,one_variable_flipped,welfare_chauvinism,FI_welfare_chauvinism_flipped.graphml,99,165,46,0.278788,7.873829
FI,original,,FI.graphml,100,170,48,0.282353,7.805000
FR,one_variable_flipped,anti_basic_income,FR_anti_basic_income_flipped.graphml,96,150,42,0.280000,7.875939
FR,one_variable_flipped,anti_climate_ban_appliances,FR_anti_climate_ban_appliances_flipped.graphml,93,135,35,0.259259,8.043622
FR,one_variable_flipped,anti_climate_change_renewables,FR_anti_climate_change_renewables_flipped.graphml,104,181,55,0.303867,8.053582
